I, [2018-08-18T13:19:57.409719 #6800]  INFO -- Kitchen: -----> Starting Kitchen (v1.22.0)
E, [2018-08-18T13:19:57.410502 #6800] ERROR -- Kitchen: ------Exception-------
E, [2018-08-18T13:19:57.410748 #6800] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-08-18T13:19:57.410978 #6800] ERROR -- Kitchen: Message: Kitchen YAML file C:/Users/sd054041/GitHub/chef-repo/.kitchen.yml does not exist.
E, [2018-08-18T13:19:57.411208 #6800] ERROR -- Kitchen: ----------------------
E, [2018-08-18T13:19:57.411441 #6800] ERROR -- Kitchen: ------Backtrace-------
E, [2018-08-18T13:19:57.411670 #6800] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2018-08-18T13:19:57.411915 #6800] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/config.rb:152:in `data'
E, [2018-08-18T13:19:57.414304 #6800] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/config.rb:131:in `suites'
E, [2018-08-18T13:19:57.414588 #6800] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2018-08-18T13:19:57.414847 #6800] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2018-08-18T13:19:57.415105 #6800] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/config.rb:117:in `instances'
E, [2018-08-18T13:19:57.415350 #6800] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2018-08-18T13:19:57.415567 #6800] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2018-08-18T13:19:57.415784 #6800] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2018-08-18T13:19:57.415999 #6800] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/2.5.0/benchmark.rb:293:in `measure'
E, [2018-08-18T13:19:57.416219 #6800] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/command/action.rb:34:in `call'
E, [2018-08-18T13:19:57.416439 #6800] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/cli.rb:52:in `perform'
E, [2018-08-18T13:19:57.416657 #6800] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2018-08-18T13:19:57.416882 #6800] ERROR -- Kitchen: C:/Users/sd054041/AppData/Local/chefdk/gem/ruby/2.5.0/gems/thor-0.20.0/lib/thor/command.rb:27:in `run'
E, [2018-08-18T13:19:57.417098 #6800] ERROR -- Kitchen: C:/Users/sd054041/AppData/Local/chefdk/gem/ruby/2.5.0/gems/thor-0.20.0/lib/thor/invocation.rb:126:in `invoke_command'
E, [2018-08-18T13:19:57.417316 #6800] ERROR -- Kitchen: C:/Users/sd054041/AppData/Local/chefdk/gem/ruby/2.5.0/gems/thor-0.20.0/lib/thor.rb:387:in `dispatch'
E, [2018-08-18T13:19:57.417540 #6800] ERROR -- Kitchen: C:/Users/sd054041/AppData/Local/chefdk/gem/ruby/2.5.0/gems/thor-0.20.0/lib/thor/base.rb:466:in `start'
E, [2018-08-18T13:19:57.417743 #6800] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/bin/kitchen:13:in `block in <top (required)>'
E, [2018-08-18T13:19:57.417945 #6800] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2018-08-18T13:19:57.418143 #6800] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/bin/kitchen:13:in `<top (required)>'
E, [2018-08-18T13:19:57.418336 #6800] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:286:in `load'
E, [2018-08-18T13:19:57.418528 #6800] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:286:in `<main>'
E, [2018-08-18T13:19:57.418762 #6800] ERROR -- Kitchen: ----End Backtrace-----
